country,circular_material_use_rate
European Union - 27 countries (from 2020),12
European Union - 28 countries (2013-2020),12.5
Belgium,23.5
Bulgaria,2.3
Czechia,11.3
Denmark,7.6
Germany (until 1990 former territory of the FRG),12.9
Estonia,15.6
Ireland,1.6
Greece,4.1
Spain,9.6
France,20
Croatia,5.2
Italy,19.5
Cyprus,2.9
Latvia,4.3
Lithuania,3.9
Luxembourg,10.5
Hungary,7.3
Malta,7.7
Netherlands,30
Austria,11.5
Poland,10.3
Portugal,2.3
Romania,1.3
Slovenia,11.4
Slovakia,6.4
Finland,6.3
Sweden,6.5
United Kingdom,16.4
